Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2044,,,,1458,1399,23.705,2.473,6.16,21.173,48.412,7.82,5.167,21.063,6.809,1.886,14.274,16.607,21.037,6.786,4.418,18.886,5.042,1.759,13.766,17.715,19.089,6.937,4.414,16.83,16.361,2.202,9.355,19.576,36.737,7.434,4.86,19.67
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2046,,,,983,1406,14.846,5.2,0.43,20.276,68.691,18.322,2.092,34.098,4.769,4.764,1.489,12.463,35.469,13.918,2.614,22.19,4.03,4.783,2.369,12.177,35.217,13.681,2.655,22.494,10.454,5.022,1.074,16.936,54.706,16.422,2.32,29.175
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2048,,,,1286,1404,17.303,2.195,0.813,15.803,56.976,10.322,2.922,27.72,4.508,1.522,1.018,10.242,33.779,9.039,2.347,27.044,6.397,2.116,0.989,16.444,65.937,10.493,1.865,30.059,12.986,2.107,0.883,15.435,57.203,10.244,2.569,28.309
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2049,,,,997,1405,16.078,6.78,0.14,14.981,58.453,15.306,3.368,29.482,7.134,5.735,0.151,15.642,39.421,15.795,2.775,25.518,5.469,5.104,0.171,13.8,36.407,15.19,2.843,24.447,12.503,6.272,0.148,14.839,50.954,15.357,3.168,27.828
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2050,,,,1311,1410,28.748,3.373,1.028,11.149,46.758,9.352,2.975,22.951,8.831,2.821,1.033,8.824,34.785,9.073,2.46,23.678,3.18,2.948,1.533,9.068,29.455,8.986,2.289,21.361,19.809,3.184,1.133,10.292,40.985,9.225,2.739,22.757
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2053,,,,1292,1408,15.429,2.981,1.501,16.42,81.378,9.037,2.151,28.149,6.404,2.864,0.415,11.949,57.227,10.082,1.964,26.054,5.222,2.81,0.702,14.727,64.219,10.677,1.906,29.444,10.984,2.912,1.088,15.175,72.372,9.682,2.049,28.16
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2054,,,,1415,1417,19.706,2.342,2.029,12.364,7.833,6.995,3.865,11.412,9.34,2.39,1.602,12.377,8.25,9.704,3.835,13.521,6.377,2.068,1.862,11.408,8.636,8.605,3.263,12.64,15.565,2.288,1.941,12.159,8.058,7.672,3.731,11.933
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2055,,,,1380,1419,11.318,1.869,5.582,18.945,52.955,5.176,4.321,27.517,2.789,2.089,5.981,13.08,27.354,5.72,3.998,23.327,1.647,2.319,6.989,10.565,18.261,5.518,3.835,17.092,7.884,1.997,5.929,16.246,41.541,5.341,4.167,24.721
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2057,,,,771,1417,21.106,3.65,3.05,15.417,43.855,6.757,9.308,21.562,8.86,3.112,2.461,14.478,24.474,4.981,9.055,16.596,7.829,3.316,1.465,19.578,35.781,8.101,8.335,22.004,15.49,3.472,2.517,16.425,38.561,6.851,8.998,20.903
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2058,,,,1406,1425,13.033,2.345,2.797,22.381,63.876,6.978,4.482,24.873,5.362,2.87,2.057,18.364,30.384,6.367,4.759,18.093,2.366,2.623,1.99,14.546,16.981,5.811,4.523,14.702,9.957,2.466,2.544,20.327,50.384,6.67,4.525,22.008
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2060,,,,1479,1423,18.241,1.719,6.781,24.747,52.56,6.361,4.429,22.269,6.029,2.263,5.813,16.903,21.117,4.549,4.554,14.234,3.916,2.254,4.662,13.625,14.689,3.892,4.321,12.274,13.523,1.909,6.217,21.347,40.223,5.595,4.428,19.055
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2061,,,,1039,1424,23.18,1.843,3.739,14.225,41.75,7.976,4.532,19.577,6.532,1.867,5.515,15.625,15.946,6.628,3.571,14.597,3.357,2.031,5.763,13.984,14.113,5.626,4.202,12.595,16.111,1.887,4.474,14.419,31.441,7.247,4.295,17.242
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2062,,,,1338,1424,41.072,2.507,1.936,8.829,14.608,4.755,6.049,14.924,16.312,1.925,2.696,7.482,10.6,4.217,5.638,19.585,8.398,1.743,2.507,7.334,10.981,4.35,5.126,16.705,28.935,2.223,2.203,8.237,13.047,4.565,5.755,16.148
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2065,,,,689,1430,10.792,2.842,0.402,19.619,65.056,12.127,9.331,23.589,4.212,2.967,1.071,14.811,31.3,7.637,7.353,15.606,2.689,3.16,1.156,14.127,24.317,7.029,7.005,14.506,8.141,2.924,0.658,17.764,51.612,10.4,8.555,20.515
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2066,,,,1291,1439,10.619,2.789,0.749,17.988,70.544,9.905,2.085,28.126,4.734,1.903,0.409,15.49,55.938,10.773,1.933,27.606,2.76,1.913,0.488,14.326,47.848,10.485,1.96,25.41,7.699,2.418,0.624,16.675,62.585,10.206,2.027,27.416
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2067,,,,1556,1433,9.581,1.772,2.372,7.205,11.434,4.173,3.669,7.87,7.11,1.572,2.18,6.283,7.047,3.633,2.857,6.783,6.268,1.418,2.317,6,5.936,3.392,2.41,6.456,8.407,1.66,2.322,6.773,9.428,3.905,3.248,7.363
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2068,,,,1457,1441,18.18,3.519,0.468,11.907,29.653,13.954,1.896,18.9,6.314,2.554,0.595,9.065,11.503,10.208,1.677,18.757,3.537,2.234,0.897,9.062,11.514,10.417,1.777,18.485,11.706,2.965,0.618,10.552,21.008,12.231,1.821,18.752
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2069,,,,1452,1456,20.199,1.448,8.277,9.523,9.992,6.784,5.272,11.469,2.823,1.924,11.083,12.081,10.664,7.026,4.523,14.015,1.588,2.296,10.451,13.474,9.867,8.033,3.925,13.231,12.071,1.755,9.382,11.022,10.095,7.145,4.786,12.419
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2070,,,,1470,1441,10.167,3.452,0.212,12.352,33.316,13.883,1.368,18.119,4.485,2.832,0.477,10.591,19.192,11.913,1.327,15.96,2.982,2.501,0.638,10.162,17.967,11.616,1.598,15.203,7.42,3.11,0.364,11.51,27.126,12.987,1.42,17.028
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2071,,,,1227,1441,11.393,2.601,0.234,13.334,67.046,12.884,2.709,27.081,2.43,2.587,0.126,13.8,48.234,14.533,2.305,25.801,0.574,3.024,0.202,12.867,39.149,13.967,2.527,23.501,7.567,2.684,0.208,13.325,57.966,13.404,2.598,26.123
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2072,,,,1173,1447,37.908,2.132,3.687,8.921,16.505,6.714,5.414,14.884,15.967,1.721,2.74,9.122,14.284,5.02,4.532,13.216,7.647,1.35,2.253,8.571,15.365,4.343,3.866,13.686,28.014,1.907,3.236,8.896,15.86,5.944,4.955,14.336
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2073,,,,798,1452,17.212,1.729,1.923,12.144,39.558,7.729,7.371,16.718,7.01,1.652,1.402,11.769,33.994,7.32,6.714,15.483,4.49,1.797,1.244,11.427,29.094,6.664,6.325,14.255,12.411,1.728,1.672,11.914,36.183,7.418,7.013,15.939
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2074,,,,983,1446,10.435,4.12,0.1,17.231,62.29,16.516,1.853,28.207,2.418,4.109,0.308,12.726,17.515,14.039,2.125,17.858,0.702,4.101,0.521,11.905,10.459,13.17,2.317,14.432,7.29,4.115,0.213,15.49,45.186,15.482,1.985,23.923
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2076,,,,763,1450,34.821,4.399,1.633,26.273,67.909,14.379,8.839,28.825,12.716,4.698,4.793,29.676,52.03,13.337,8.392,24.115,6.356,4.673,5.562,30.195,39.972,12.39,8.034,21.24,24.976,4.51,3.012,27.696,59.328,13.784,8.594,26.421
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2077,,,,1336,1449,15.102,2.307,2.142,9.108,5.107,5.452,4.588,13.45,5.102,2.156,1.792,10.318,5.983,5.265,4.031,13.812,1.552,2.083,2.326,10.598,7.79,5.322,4.031,13.923,11.516,2.25,2.121,9.519,5.657,5.404,4.419,13.577
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2078,,,,1477,1452,12.984,3.338,1.363,14.31,30.013,13.947,1.8,17.871,2.816,2.643,0.788,9.193,12.15,10.537,1.698,13.401,2.507,2.621,0.812,8.355,13.988,11.646,1.803,15.019,8.556,3.035,1.123,11.909,22.835,12.768,1.783,16.367
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2079,,,,1500,1455,14.616,4.172,0.706,10.549,29.691,11.209,2.067,17.368,4.821,3.34,1.085,7.959,17.342,10.505,2.106,17.614,1.862,2.956,1.159,7.644,11.674,9.457,2.109,15.72,10.323,3.781,0.864,9.506,23.896,10.736,2.083,17.087
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2080,,,,1612,1458,16.026,1.77,2.555,17.636,32.776,8.125,3.924,14.993,10.136,1.3,2.015,15.971,24.403,7.524,3.103,12.053,9.19,1.445,1.423,14.064,18.587,6.721,3.614,9.934,13.128,1.603,2.153,16.387,27.394,7.62,3.696,13.094
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2081,,,,1434,1458,14.112,2.666,7.996,27.653,72.919,9.983,4.245,34.999,5.028,2.205,17.65,20.489,33.344,8.253,3.929,21.032,2.136,2.004,17.189,17.42,20.679,7.521,3.77,16.15,9.72,2.431,11.915,24.022,53.771,9.108,4.08,28.154
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2082,,,,1554,1462,8.224,1.997,27.933,41.275,68.603,7.809,6.889,28.699,3.571,1.907,20.277,28.099,26.083,6.294,7.081,18.171,2.995,1.785,21.439,25.192,29.733,6.956,6.008,17.687,5.865,1.919,24.672,34.22,49.667,7.291,6.664,23.602
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2083,,,,1302,1463,11.41,3.858,0.603,20.125,84.067,11.704,2.428,35.407,2.113,2.871,1.064,17.383,59.582,11.665,1.988,30.887,1.198,3.363,0.919,17.324,46.528,11.914,1.9,24.026,7.85,3.598,0.741,19.117,72.562,11.739,2.251,32.393
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2084,,,,1034,1466,19.335,2.319,2.438,12.698,29.791,5.983,4.525,15.169,7.574,1.91,4.525,11.354,18.191,4.821,4.614,12.063,4.744,2.536,4.236,11.445,18.032,7.04,4.702,14.349,14.049,2.332,3.161,12.206,25.293,6.139,4.583,14.597
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2085,,,,1616,1473,33.114,2.632,3.159,15.344,32.675,8.663,6.522,14.158,15.796,1.556,3.766,10.705,16.084,6.471,5.548,10.807,15.699,1.747,3.79,12.563,20.824,6.988,5.343,11.702,28.309,2.369,3.331,14.397,28.946,8.151,6.216,13.394
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2086,,,,745,1475,36.975,3.123,2.208,16.252,42.874,7.28,6.713,16.05,10.868,3.401,2.512,16.026,33.566,6.546,6.581,15.306,3.768,3.348,2.474,16.619,28.267,6.141,6.321,14.728,27.478,3.203,2.298,16.278,39.03,6.979,6.628,15.717
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2087,,,,1053,1474,13.13,2.147,0.34,50.29,12.92,10.04,3.584,19.253,2.452,1.744,0.446,43.863,14.023,8.326,3.531,17.899,2.53,1.805,0.601,45.169,13.891,8.578,3.271,16.089,8.181,1.977,0.434,47.67,13.396,9.314,3.485,18.108
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2088,,,,1557,1472,14.473,1.699,5.825,14.28,30.605,6.893,4.153,13.762,6.01,1.334,7.942,9.18,11.465,5.036,3.359,10.126,3.418,1.373,11.23,12.521,17.617,5.843,3.515,12.219,10.769,1.571,7.307,13.08,24.757,6.37,3.89,12.845
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2089,,,,1438,1474,17.48,3.001,2.608,20.592,65.34,8.212,2.747,23.643,5.045,3.351,2.617,20.922,39.228,8.587,3.079,19.848,3.413,3.374,3.005,19.883,34.738,8.291,3.114,18.962,12.907,3.125,2.688,20.499,55.528,8.282,2.867,22.171
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2090,,,,1035,1478,14.947,3.38,0.86,13.184,35.667,13.352,4.647,20.144,4.028,3.793,2.707,10.858,23.743,14.555,3.453,20.265,2.986,3.494,4.174,10.985,20.415,12.697,3.134,16.94,10.595,3.47,1.878,12.333,30.436,13.4,4.126,19.463
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2091,,,,1068,1482,14.009,1.706,0.159,66.139,45.739,16.697,3.151,32.19,4.15,1.398,0.531,79.763,24.046,14.288,2.768,24.385,2.793,2.164,0.485,58.627,24.329,13.651,3.073,22.466,10.552,1.752,0.271,66.529,38.756,15.794,3.085,29.292
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2092,,,,1297,1479,13.553,2.952,0.711,19.074,88.081,11.524,2.036,33.409,3.616,2.614,0.795,16.581,58.43,12.318,1.614,28.201,1.696,2.525,0.906,15.202,44.677,12.385,1.287,23.462,9.359,2.805,0.766,17.84,73.94,11.842,1.808,30.455
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2093,,,,1715,1480,14.697,2.121,5.578,13.364,13.758,6.436,4.676,15.658,6.99,1.098,6.255,14.358,17.599,6.31,4.045,15.938,4.021,0.858,6.173,17.008,21.695,6.424,3.812,17.969,11.377,1.71,5.803,14.234,15.922,6.413,4.406,16.153
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2094,,,,1504,1484,21.262,3.485,2.766,16.828,39.707,8.745,4.798,19.848,6.442,3.426,2.914,15.747,24.209,8.517,4.731,20.244,3.159,3.273,2.614,15.854,19.667,8.376,4.507,19.472,15.043,3.433,2.763,16.443,32.986,8.632,4.729,19.846
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2096,,,,1625,1485,26.66,2.767,2.391,13.468,21.051,7.683,6.185,14.166,11.225,1.97,3.509,11.635,17.25,6.377,4.873,13.234,13.095,2.119,4.154,11.812,25.687,6.657,4.946,14.252,22.025,2.538,2.881,12.909,21.488,7.315,5.774,14.065
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2097,,,,1730,1494,16.562,0.396,5.828,41.895,69.201,9.784,2.791,36.844,5.878,0.523,6.854,33.904,56.162,8.809,2.714,30.195,2.897,0.584,7.406,32.192,45.398,9.046,2.476,27.016,11.818,0.458,6.341,38.459,61.878,9.461,2.71,33.607
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2098,,,,1420,1492,17.255,2.285,2.056,12.438,33.123,8.14,3.849,15.418,9.351,3.044,2.429,14.988,16.482,7.175,3.904,13,6.909,2.751,2.69,14.608,15.059,7.066,3.682,12.718,13.531,2.514,2.267,13.355,26.188,7.731,3.816,14.392
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2099,,,,1572,1496,7.481,1.29,0.145,55.525,23.57,14.127,0.947,20.402,1.961,1.594,0.418,45.736,7.299,11.581,1.133,15.122,0.641,1.816,0.878,38.206,7.559,9.864,1.544,12.95,4.856,1.468,0.363,49.711,16.763,12.669,1.117,17.688
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2100,,,,1645,1496,26.493,3.13,2.671,12.611,31.097,7.132,5.392,15.141,11.435,2.482,3.273,12.43,20.57,6.64,5.118,14.504,8.616,2.347,2.826,12.134,21.243,6.751,4.68,14.444,21.07,2.894,2.783,12.497,27.802,6.993,5.221,14.923
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2101,,,,1456,1494,19.177,3.479,3.076,22.139,30.283,7.067,4.788,17.981,6.475,2.326,1.598,23.786,19.648,5.735,3.776,13.236,3.993,2.011,2.195,23.697,27.942,5.728,3.475,14.66,14.621,3.049,2.706,22.655,28.348,6.635,4.406,16.705
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2102,,,,1432,1500,29.635,2.108,3.346,17.706,33.665,6.205,5.417,14.647,14.612,2.074,1.522,18.584,24.934,5.999,4.247,13.26,14.024,2.136,2.458,19.533,25.487,6.526,4.528,15.178,24.384,2.111,2.946,18.228,30.824,6.259,5.085,14.627
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,2103,,,,1403,1498,27.011,2.237,3.38,19.584,45.717,9.602,6.198,18.92,11.162,1.491,1.921,11.629,18.53,7.36,4.278,13.697,5.293,1.346,3.544,12.539,15.691,7.413,4.225,15.052,19.169,1.9,3.181,16.58,34.013,8.706,5.407,17.131
